X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
95.365,25.222,train,0.0,0.0,0.0
95.5,25.29,train,Infinity,100.0,NaN
95.488,25.26,train,0.0,0.0,0.0
95.426,25.257,train,0.0,0.0,0.0
95.355,25.173,train,0.0,0.0,0.0
95.382,25.208,train,0.0,0.0,0.0
95.339,25.252,train,0.0,0.0,0.0
95.668,25.411,train,0.0,0.0,0.0
95.552,25.309,train,Infinity,100.0,NaN
95.542,25.314,train,Infinity,100.0,NaN
95.518,25.313,train,Infinity,100.0,NaN
95.507,25.304,train,Infinity,100.0,NaN
95.503,25.314,train,Infinity,100.0,NaN
95.484,25.327,train,Infinity,100.0,NaN
95.438,25.292,train,Infinity,100.0,NaN
95.543,25.344,train,Infinity,100.0,NaN
95.554,25.362,train,Infinity,100.0,NaN
95.548,25.369,train,Infinity,100.0,NaN
95.542,25.377,train,Infinity,100.0,NaN
95.521,25.378,train,Infinity,100.0,NaN
95.508,25.379,train,Infinity,100.0,NaN
95.495,25.363,train,0.0,0.0,0.0
95.494,25.292,train,Infinity,100.0,NaN
95.482,25.297,train,Infinity,100.0,NaN
95.47,25.3,train,Infinity,100.0,NaN
95.448,25.287,train,Infinity,100.0,NaN
95.445,25.275,train,0.0,0.0,0.0
95.434,25.266,train,1.2581003145735392E279,100.0,1.0
95.69,25.492,train,Infinity,100.0,NaN
95.649,25.533,train,Infinity,100.0,NaN
95.378,25.103,train,Infinity,100.0,NaN
95.375,25.206,train,0.0,0.0,0.0
95.405,25.249,train,0.0,0.0,0.0
95.445,25.283,train,Infinity,100.0,NaN
95.565,25.303,train,Infinity,100.0,NaN
95.659,25.3,train,0.0,0.0,0.0
95.491,25.321,train,Infinity,100.0,NaN
95.652,25.315,train,Infinity,100.0,NaN
95.499,25.374,train,Infinity,100.0,NaN
95.507,25.305,train,Infinity,100.0,NaN
95.505,25.303,train,Infinity,100.0,NaN
95.426,25.3,train,Infinity,100.0,NaN
95.551,25.353,train,Infinity,100.0,NaN
95.529,25.35,train,0.0,0.0,0.0
95.445,25.274,train,0.0,0.0,0.0
95.494,25.268,train,7.501487189858494E164,100.0,1.0
