x,y,IDP.event_PA2_RUN1 logistic values
95.7214312933168,25.7352573931409,0.0
95.5068712933168,25.7149323931409,0.0
95.7226232933168,25.7135773931409,0.0
95.5095532933168,25.6954203931409,0.0
95.7878852933168,25.6821413931409,0.0
95.6338192933168,25.6642553931409,0.0
95.5578292933168,25.6582933931409,0.0
95.7437812933168,25.6577513931409,0.0
95.5196852933168,25.6439303931409,0.0
95.7509332933168,25.6352583931409,2.7807895E-4
95.4609792933168,25.6314643931409,0.0
95.4913752933168,25.6271283931409,0.0
95.8999332933168,25.6252313931409,0.0
95.6677912933168,25.6195403931409,0.0
95.6207072933168,25.6184563931409,0.0
95.7863952933168,25.6162883931409,0.0
95.7631512933168,25.6116813931409,0.0
95.8382472933168,25.6114103931409,0.0
95.4842232933168,25.6032803931409,0.0
95.8054672933168,25.5962343931409,0.0
95.8749012933168,25.5845813931409,0.0
95.8391412933168,25.5778063931409,0.0
95.5947812933168,25.5753673931409,0.0
95.5417372933168,25.5683213931409,0.0
95.8370552933168,25.5620883931409,0.0
95.8909932933168,25.5507063931409,0.0
95.9124492933168,25.5485383931409,0.0
95.9055952933168,25.5401373931409,0.0
95.8883112933168,25.5379693931409,0.0
95.6791152933168,25.5309233931409,0.0
95.6251772933168,25.5263163931409,0.0
95.5035932933168,25.5038233931409,0.0
95.4976332933168,25.5016553931409,0.0
95.7083192933168,25.4978613931409,0.0
95.5560412933168,25.4918993931409,0.0
95.4919712933168,25.4672383931409,0.0
95.5232612933168,25.4534173931409,0.0
95.6403752933168,25.4423063931409,0.0
95.5611072933168,25.4284853931409,0.0
95.6454412933168,25.4190003931409,0.0
95.4308812933168,25.4160193931409,0.0
95.5971652933168,25.4157483931409,0.0
95.5041892933168,25.4146643931409,0.0
95.5754112933168,25.4105993931409,0.0
95.5572332933168,25.4065343931409,0.0
95.6925252933168,25.3881063931409,0.55031395
95.5146192933168,25.3756403931409,0.48326108
95.4290932933168,25.3740143931409,0.0
95.5101492933168,25.3648003931409,0.0
95.6952072933168,25.3596513931409,0.0
95.4776672933168,25.3582963931409,0.0
95.4654492933168,25.3420363931409,0.44222754
95.6224952933168,25.3330933931409,0.0
95.6752412933168,25.3276733931409,0.0
95.5816692933168,25.3230663931409,0.0
95.3030392933168,25.2788933931409,0.0
95.4809452933168,25.2767253931409,0.0
95.2809872933168,25.2531483931409,0.0
95.3426732933168,25.2523353931409,0.0
95.4556152933168,25.2284873931409,0.0
95.3534012933168,25.2168343931409,0.0
95.4794552933168,25.2068073931409,0.0
95.4994212933168,25.1940703931409,0.0
95.3471432933168,25.1900053931409,0.0
95.4761772933168,25.1840433931409,0.0
95.3373092933168,25.1482713931409,0.0
95.3849892933168,25.1238813931409,0.0
95.4448872933168,25.1214423931409,0.0
95.3495272933168,25.0913613931409,0.0
95.3763472933168,25.0788953931409,0.0
