x,y,IDP.event_PA4_RUN2 logistic values
95.4782632933168,25.6929813931409,0.0
95.7703032933168,25.6818703931409,0.0
95.7363312933168,25.6778053931409,0.0
95.5244532933168,25.6769923931409,0.0
95.7694092933168,25.6675073931409,0.0
95.6236872933168,25.6566673931409,0.0
95.6382892933168,25.6547703931409,0.0
95.5110432933168,25.6404073931409,0.0
95.5959732933168,25.6320063931409,0.0
95.5310092933168,25.6252313931409,0.0
95.8567232933168,25.6168303931409,0.0
95.5736232933168,25.6081583931409,0.0
95.4916732933168,25.6051773931409,0.0
95.6514012933168,25.5856653931409,0.0
95.8993372933168,25.5783483931409,0.0
95.5587232933168,25.5750963931409,0.0
95.9118532933168,25.5713023931409,0.0
95.7765612933168,25.5683213931409,0.0
95.7777532933168,25.5623593931409,0.0
95.8263272933168,25.5610043931409,0.0
95.4535292933168,25.5577523931409,0.0
95.8355652933168,25.5485383931409,0.0
95.4365432933168,25.5428473931409,0.0
95.8611932933168,25.5314653931409,0.0
95.7387152933168,25.5284843931409,0.0
95.8227512933168,25.5230643931409,0.0
95.8471872933168,25.5225223931409,0.0
95.7321592933168,25.5089723931409,0.0
95.7911632933168,25.5062623931409,0.0
95.6281572933168,25.4921703931409,0.0
95.7857992933168,25.4886473931409,0.0
95.5673652933168,25.4699483931409,0.0
95.5101492933168,25.4688643931409,0.0
95.7378212933168,25.4474553931409,0.0
95.5259432933168,25.4431193931409,0.0
95.4833292933168,25.4371573931409,0.0
95.4276032933168,25.4187293931409,0.0
95.6609372933168,25.3905453931409,0.0
95.7318612933168,25.3680523931409,0.0
95.7172592933168,25.3588383931409,0.0
95.6031252933168,25.3290283931409,0.0
95.4815412933168,25.3238793931409,0.0
95.3930352933168,25.3195433931409,0.0
95.4323712933168,25.3149363931409,0.0
95.6010392933168,25.3111423931409,0.0
95.6308392933168,25.3108713931409,0.0
95.4356492933168,25.3084323931409,0.0
95.4574032933168,25.3068063931409,0.0
95.5685572933168,25.3000313931409,0.0
95.4931632933168,25.2975923931409,0.0
95.5035932933168,25.2919013931409,0.0
95.3033372933168,25.2900043931409,0.0
95.5628952933168,25.2875653931409,0.0
95.6487192933168,25.2835003931409,0.0
95.4279012933168,25.2780803931409,0.14274642
95.4663432933168,25.2569423931409,0.0
95.3441632933168,25.2523353931409,0.0
95.5366712933168,25.2466443931409,0.0
95.3131712933168,25.2314683931409,0.0
95.5280292933168,25.2274033931409,0.0
95.2786032933168,25.2233383931409,0.0
95.2628092933168,25.2195443931409,0.0
95.3623412933168,25.2032843931409,0.0
95.5202812933168,25.1935283931409,0.0
95.4723032933168,25.1761843931409,0.0
95.4097232933168,25.1753713931409,0.0
95.3000592933168,25.1555883931409,0.0
95.3286672933168,25.1181903931409,0.0
95.3426732933168,25.1092473931409,0.0
95.3319452933168,25.0978653931409,0.0
